Start,End
3783.247,3783.444
3783.439,3783.662
3783.756,3784.337
3784.793,3786.681
3787.876,3788.146
3789.452,3789.655
3789.96,3790.178
3790.325,3790.768
3793.453,3794.311
3794.73,3794.895
3795.549,3795.772
3796.318,3797.314
3797.802,3797.825
3798.005,3798.113
3800.815,3801.565
3801.66,3802.328
3802.491,3802.704
3803.427,3804.492
3804.77,3805.022
3805.156,3806.224
3806.771,3807.234
3810.153,3810.123
3810.877,3811.763
3813.014,3813.783
3819.579,3819.78
3823.98,3824.1
3825.007,3825.284
3825.69,3825.75
3827.457,3827.567
3828.298,3827.535
3829.361,3829.529
3843.206,3843.647
3844.486,3856.407
3845.408,3845.496
3845.709,3846.045
3851.445,3851.711
3852.649,3853.269
3854.86,3855.102
3855.185,3855.269
3862.492,3863.534
3863.737,3864.118
3867.151,3867.671
3882.231,3882.329
3891.992,3892.234
3892.378,3892.559
3893.085,3893.355
3896.096,3897.269
3897.278,3897.792
3898.684,3898.921
3901.782,3902.015
3902.76,3902.863
3903.136,3903.289
3904.451,3905.812
3905.928,3906.179
3907.826,3907.982
3908.261,3908.409
3909.907,3910.705
3913.124,3913.509
3913.98,3914.455
3915.787,3916.002
3917.641,3917.755
3918.425,3918.568
3919.483,3919.946
3920.765,3921.022
3921.642,3921.875
3925.114,3925.385
3928.484,3928.638
3932.314,3932.447
3946.854,3947.132
3950.871,3950.967
3951.336,3951.406
3951.538,3952.108
3951.744,3952.001
3953.373,3953.615
3955.746,3955.953
3958.344,3958.502
3959.76,3959.966
3960.253,3961.078
3963.138,3963.362
3963.713,3963.904
3972.951,3973.223
3979.193,3979.731
3980.18,3980.534
3980.387,3930.547
3981.04,3981.28
3982.031,3982.167
3982.583,3982.693
3988.065,3988.64
3989.011,3989.877
3990.642,3990.801
3992.4,3992.743
3992.907,3994.061
3994.79,3995.195
3996.904,3997.062
3999.294,3999.676
4000.13,4000.555
4001.087,4001.303
4001.437,4001.545
4001.841,4002.493
4002.982,4003.426
4004.203,4004.792
4005.028,4005.387
4005.953,4006.283
4007.784,4007.982
4008.819,4009.184
4010.157,4010.393
4010.595,4016.479
4012.909,4013.468
4016.469,4016.677
4017.625,4018.163
4019.559,4019.723
4026.084,4026.202
4027.918,4028.117
4028.405,4028.773
4032.808,4032.904
4035.16,4035.314
4036.906,4037.966
4038.352,4038.511
4039.684,4040.089
4040.935,4041.549
4042.878,4041.991
4043.329,4043.457
4044.773,4044.884
4047.825,4048.318
4050.185,4050.396
4052.242,4052.417
4052.822,4052.923
4055.483,4055.781
4057.135,4057.269
4057.518,4057.768
4058.724,4059.121
4060.304,4060.679
4061.529,4061.772
4062.469,4062.752
4063.837,4064.032
4067.085,4067.425
4067.573,4067.681
4067.788,4068.068
4068.879,4068.944
4070.743,4070.952
4071.529,4071.879
